rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,time/episodes,time/total_timesteps,time/fps,train/n_updates,train/learning_rate,train/loss
-76.38,50.0,3,0.9392000000000004,256,12800,3700,737,0.0001,2.6416807174682617
-76.56,50.0,3,0.9382500000000005,260,13000,3696,750,0.0001,1.4691176414489746
-76.86,50.0,3,0.9372999999999996,264,13200,3695,762,0.0001,1.7662363052368164
-76.26,50.0,3,0.9363499999999996,268,13400,3692,775,0.0001,1.8998174667358398
-76.14,50.0,3,0.9353999999999998,272,13600,3689,787,0.0001,2.124145030975342
-76.38,50.0,3,0.9344499999999999,276,13800,3687,800,0.0001,2.490941047668457
-76.2,50.0,3,0.9335,280,14000,3690,812,0.0001,1.6550099849700928
-75.18,50.0,3,0.9325500000000001,284,14200,3685,825,0.0001,2.0884087085723877
-75.0,50.0,3,0.9316000000000002,288,14400,3687,837,0.0001,2.372201919555664
-75.12,50.0,3,0.9306500000000003,292,14600,3685,850,0.0001,1.9516918659210205
-75.48,50.0,4,0.9297000000000004,296,14800,3685,862,0.0001,1.933001160621643
-76.02,50.0,4,0.9287500000000004,300,15000,3682,875,0.0001,2.2634682655334473
-76.02,50.0,4,0.9277999999999995,304,15200,3680,887,0.0001,2.6321840286254883
-75.9,50.0,4,0.9268499999999996,308,15400,3673,900,0.0001,2.357084035873413
-76.5,50.0,4,0.9258999999999997,312,15600,3666,912,0.0001,1.960423231124878
-76.44,50.0,4,0.9249499999999998,316,15800,3659,925,0.0001,2.675288200378418
-76.62,50.0,4,0.9239999999999999,320,16000,3653,937,0.0001,2.106605052947998
-76.98,50.0,4,0.92305,324,16200,3644,950,0.0001,2.6771187782287598
-77.16,50.0,4,0.9221000000000001,328,16400,3638,962,0.0001,1.3674918413162231
-77.22,50.0,4,0.9211500000000002,332,16600,3628,975,0.0001,1.9081642627716064
-77.34,50.0,4,0.9202000000000004,336,16800,3625,987,0.0001,1.6997671127319336
-77.76,50.0,4,0.9192500000000005,340,17000,3620,1000,0.0001,1.475783348083496
-77.64,50.0,4,0.9182999999999996,344,17200,3620,1012,0.0001,2.6344170570373535
-77.64,50.0,4,0.9173499999999997,348,17400,3615,1025,0.0001,2.120537757873535
-77.64,50.0,4,0.9163999999999997,352,17600,3615,1037,0.0001,1.516207218170166
-78.06,50.0,4,0.9154499999999999,356,17800,3609,1050,0.0001,1.5178515911102295
-78.12,50.0,4,0.9145,360,18000,3606,1062,0.0001,2.062257766723633
-78.0,50.0,5,0.9135500000000001,364,18200,3606,1075,0.0001,1.9965250492095947
-78.06,50.0,5,0.9126000000000002,368,18400,3601,1087,0.0001,2.127314567565918
-78.24,50.0,5,0.9116500000000003,372,18600,3598,1100,0.0001,1.7905688285827637
-78.3,50.0,5,0.9107000000000003,376,18800,3596,1112,0.0001,1.9489507675170898
-78.54,50.0,5,0.9097500000000005,380,19000,3588,1125,0.0001,1.90568208694458
-79.5,50.0,5,0.9087999999999995,384,19200,3581,1137,0.0001,2.1073875427246094
-79.32,50.0,5,0.9078499999999996,388,19400,3576,1150,0.0001,2.2193779945373535
-79.02,50.0,5,0.9068999999999997,392,19600,3569,1162,0.0001,1.6894500255584717
-78.54,50.0,5,0.9059499999999998,396,19800,3566,1175,0.0001,1.7445067167282104
-78.24,50.0,5,0.9049999999999999,400,20000,3564,1187,0.0001,2.0901432037353516
-78.3,50.0,5,0.90405,404,20200,3559,1200,0.0001,3.1306886672973633
-78.6,50.0,5,0.9031000000000001,408,20400,3555,1212,0.0001,1.8550578355789185
-77.76,50.0,5,0.9021500000000002,412,20600,3554,1225,0.0001,2.0852062702178955
-77.82,50.0,5,0.9012000000000003,416,20800,3554,1237,0.0001,1.7017031908035278
-77.82,50.0,5,0.9002500000000004,420,21000,3552,1250,0.0001,1.7911345958709717
-77.76,50.0,5,0.8992999999999995,424,21200,3552,1262,0.0001,2.3641881942749023
-78.36,50.0,6,0.8983499999999996,428,21400,3550,1275,0.0001,2.9397006034851074
-78.54,50.0,6,0.8973999999999998,432,21600,3551,1287,0.0001,1.7110424041748047
-78.72,50.0,6,0.8964499999999999,436,21800,3550,1300,0.0001,2.4957938194274902
-78.42,50.0,6,0.8955,440,22000,3549,1312,0.0001,1.9639755487442017
-78.48,50.0,6,0.89455,444,22200,3546,1325,0.0001,1.7908990383148193
-78.78,50.0,6,0.8936000000000002,448,22400,3548,1337,0.0001,2.4480648040771484
-79.02,50.0,6,0.8926500000000003,452,22600,3548,1350,0.0001,2.1094906330108643
-78.54,50.0,6,0.8917000000000004,456,22800,3549,1362,0.0001,1.5205632448196411
-78.66,50.0,6,0.8907500000000004,460,23000,3548,1375,0.0001,2.5930893421173096
-78.84,50.0,6,0.8897999999999995,464,23200,3548,1387,0.0001,2.5232818126678467
-78.72,50.0,6,0.8888499999999996,468,23400,3550,1400,0.0001,2.2158143520355225
-78.84,50.0,6,0.8878999999999997,472,23600,3549,1412,0.0001,1.574144721031189
-78.78,50.0,6,0.8869499999999998,476,23800,3548,1425,0.0001,2.7467257976531982
-78.9,50.0,6,0.8859999999999999,480,24000,3548,1437,0.0001,2.1428799629211426
-78.78,50.0,6,0.88505,484,24200,3547,1450,0.0001,2.020282745361328
-79.26,50.0,6,0.8841000000000001,488,24400,3547,1462,0.0001,2.3903300762176514
-79.62,50.0,6,0.8831500000000002,492,24600,3546,1475,0.0001,2.6125264167785645
-79.62,50.0,6,0.8822000000000003,496,24800,3545,1487,0.0001,2.092967987060547
-79.86,50.0,7,0.8812500000000004,500,25000,3543,1500,0.0001,2.0779130458831787
-79.98,50.0,7,0.8803000000000005,504,25200,3543,1512,0.0001,3.6141862869262695
-80.1,50.0,7,0.8793499999999996,508,25400,3540,1525,0.0001,3.2336440086364746
-80.7,50.0,7,0.8783999999999996,512,25600,3539,1537,0.0001,2.9316186904907227
-80.46,50.0,7,0.8774499999999998,516,25800,3535,1550,0.0001,1.855980634689331
-80.58,50.0,7,0.8765,520,26000,3533,1562,0.0001,2.262456178665161
-80.34,50.0,7,0.87555,524,26200,3527,1575,0.0001,2.0124893188476562
-80.1,50.0,7,0.8746000000000002,528,26400,3524,1587,0.0001,2.128443479537964
-79.8,50.0,7,0.8736500000000003,532,26600,3520,1600,0.0001,2.6368768215179443
-79.14,50.0,7,0.8727000000000003,536,26800,3520,1612,0.0001,2.1902806758880615
-79.2,50.0,7,0.8717500000000005,540,27000,3513,1625,0.0001,1.3777060508728027
-79.08,50.0,7,0.8708000000000006,544,27200,3510,1637,0.0001,1.821459412574768
-78.96,50.0,7,0.8698499999999996,548,27400,3510,1650,0.0001,2.294797897338867
-78.72,50.0,7,0.8688999999999997,552,27600,3510,1662,0.0001,2.2739250659942627
-78.84,50.0,7,0.8679499999999998,556,27800,3508,1675,0.0001,2.1776113510131836
-78.84,50.0,7,0.8669999999999999,560,28000,3507,1687,0.0001,3.2491602897644043
-78.72,50.0,8,0.86605,564,28200,3504,1700,0.0001,1.6112899780273438
-79.08,50.0,8,0.8651000000000001,568,28400,3506,1712,0.0001,2.269672393798828
-78.96,50.0,8,0.8641500000000002,572,28600,3504,1725,0.0001,3.2732222080230713
-78.9,50.0,8,0.8632000000000003,576,28800,3506,1737,0.0001,1.6686557531356812
-78.54,50.0,8,0.8622500000000004,580,29000,3504,1750,0.0001,2.628232002258301
-78.72,50.0,8,0.8613000000000005,584,29200,3504,1762,0.0001,1.7602167129516602
-77.94,50.0,8,0.8603499999999996,588,29400,3503,1775,0.0001,2.2958879470825195
