time/total_timesteps,rollout/ep_rew_mean
99,10.599999999999982
258,7.7499999999999885
503,7.966666666666654
846,8.599999999999987
1249,7.859999999999988
1711,7.34999999999999
2223,6.857142857142848
2795,6.612499999999992
3417,6.311111111111104
4098,6.159999999999993
4838,6.036363636363629
5673,6.308333333333326
6567,6.1923076923076845
7520,6.092857142857135
8570,6.319999999999992
9670,6.168749999999992
10830,6.094117647058816
12051,6.033333333333326
13333,5.9789473684210455
14710,6.1449999999999925
16144,6.071428571428564
17635,6.004545454545448
19300,6.5695652173912995
21178,7.324999999999998
23142,7.367999999999998
25167,7.276923076923074
27366,7.7111111111111095
29700,7.974999999999997
32093,7.865517241379307
34545,7.76333333333333
37047,7.638709677419351
39684,7.871874999999996
42380,7.778787878787875
45126,7.664705882352937
47929,7.577142857142854
50792,7.502777777777774
53714,7.4297297297297265
56693,7.355263157894734
59733,7.294871794871792
62897,7.439999999999995
66120,7.375609756097556
69400,7.309523809523806
72737,7.2465116279069735
76133,7.190909090909088
79586,7.133333333333331
83099,7.084782608695649
86662,7.017021276595742
90320,7.064583333333329
94064,7.091836734693873
97907,7.161999999999995
101811,7.11960784313725
105775,7.076923076923071
109988,7.494339622641506
114300,7.551851851851848
118709,7.587272727272723
123168,7.521428571428568
127713,7.536842105263155
132308,7.474137931034479
137001,7.525423728813555
141754,7.481666666666663
146606,7.532786885245897
151555,7.564516129032254
156565,7.523809523809519
161625,7.467187499999995
166771,7.481538461538457
171974,7.437878787878783
177234,7.395522388059697
182631,7.5117647058823485
188088,7.473913043478257
193605,7.437142857142852
199179,7.397183098591545
204965,7.6361111111111075
210801,7.584931506849311
216773,7.687837837837833
222919,7.838666666666662
229354,8.184210526315786
235848,8.140259740259737
242437,8.155128205128202
249087,8.115189873417718
255794,8.071249999999997
262558,8.028395061728393
269382,7.990243902439023
276267,7.954216867469877
283211,7.916666666666664
290252,7.935294117647056
297415,7.9930232558139505
304637,7.956321839080457
311956,7.973863636363634
319487,8.160674157303369
327078,8.124444444444443
334729,8.089010989010987
342440,8.054347826086953
350212,8.021505376344084
358083,8.048936170212764
366014,8.015789473684208
374002,7.980208333333333
382040,7.938144329896906
390137,7.90612244897959
398284,7.865656565656564
406490,7.834999999999997
414753,7.802970297029701
423075,7.773529411764703
431456,7.744660194174754
439897,7.717307692307691
448397,7.689523809523808
456957,7.66320754716981
465574,7.634579439252335
474326,7.703703703703702
483128,7.66880733944954
492029,7.695454545454544
500987,7.667567567567567
510006,7.643749999999997
519123,7.669026548672564
528335,7.68333333333333
537606,7.658260869565214
546936,7.633620689655168
556477,7.7700854700854665
566079,7.746610169491522
575742,7.723529411764702
585465,7.699999999999998
595247,7.676033057851237
605128,7.6999999999999975
615066,7.674796747967478
625141,7.7362903225806425
635379,7.817599999999998
645677,7.794444444444442
656035,7.771653543307084
666453,7.749218749999997
676932,7.727906976744183
687471,7.706153846153843
698070,7.684732824427478
708764,7.696969696969694
719515,7.673684210526312
730323,7.650746268656714
741191,7.6303703703703665
752384,7.858088235294116
763748,7.937226277372262
775198,7.940579710144926
786707,7.917985611510789
798277,7.897142857142855
809945,7.9156028368794304
821708,7.9253521126760536
833608,7.976923076923074
845565,7.953472222222221
857620,7.971034482758618
869772,7.981506849315067
881974,7.953741496598639
894233,7.9310810810810795
906549,7.908724832214762
918925,7.888666666666665
931351,7.862251655629138
943875,7.8796052631578934
956456,7.858169934640521
969097,7.838961038961037
981798,7.819999999999998
994549,7.794871794871792
1007357,7.774522292993629
1020225,7.756329113924048
1033191,7.773584905660375
1046217,7.7556249999999975
1059304,7.738509316770184
1072448,7.719135802469133
1085691,7.736809815950918
1099071,7.78292682926829
1112510,7.764848484848482
1126008,7.746987951807226
1139641,7.791017964071853
1153334,7.773809523809521
1167084,7.755029585798813
1180932,7.771176470588232
1194839,7.753801169590641
1208807,7.737790697674416
1222835,7.721387283236991
1236922,7.704597701149422
1251182,7.768571428571426
1265501,7.751704545454544
1279906,7.755367231638416
1294520,7.84325842696629
1309271,7.884916201117316
1324120,7.899444444444442
1339026,7.881215469613257
1353989,7.863186813186811
1369012,7.846994535519123
1384096,7.831521739130432
1399241,7.816216216216214
1414508,7.843548387096773
1429834,7.827272727272724
1445210,7.806382978723401
1460646,7.7910052910052885
1476141,7.775263157894733
1491686,7.754973821989526
1507288,7.738541666666664
1522951,7.724352331606215
1538664,7.704639175257729
1554586,7.785128205128203
1570565,7.768877551020406
1586594,7.749238578680201
1602683,7.734848484848483
1618869,7.743718592964822
1635115,7.729499999999998
1651422,7.715920398009948
1667786,7.700495049504949
1684200,7.6817733990147765
1700713,7.6960784313725465
1717323,7.704878048780485
1734032,7.71893203883495
1750876,7.754589371980676
1767777,7.7394230769230745
1784737,7.725358851674638
1801747,7.707142857142855
1818818,7.6943127962085285
1835948,7.680660377358487
1853173,7.6882629107981195
1870457,7.674766355140183
1887798,7.660465116279067
1905234,7.6680555555555525
1922729,7.654838709677417
1940323,7.668348623853208
1957978,7.656164383561641
1975833,7.723636363636361
1993745,7.709502262443436
2011707,7.692342342342339
