train/entropy_loss,rollout/ep_len_mean,train/value_loss,train/n_updates,time/total_timesteps,train/policy_loss,train/explained_variance,time/fps,train/learning_rate,time/time_elapsed,rollout/ep_rew_mean,time/iterations
-0.12023408710956573,50.0,4.807199001312256,99,2000,-0.04988082870841026,-1.0398156642913818,788,0.0007,2,-9.209999999999999,100
-0.16715176403522491,50.0,2.581402540206909,199,4000,-0.05670963600277901,-0.22573482990264893,881,0.0007,4,-9.254999999999999,200
-0.09596505016088486,50.0,1.848633050918579,299,6000,-0.023083774372935295,0.056655287742614746,935,0.0007,6,-9.299999999999997,300
-0.32550355792045593,50.0,1.451124906539917,399,8000,-0.23174786567687988,0.2072325348854065,962,0.0007,8,-9.299999999999997,400
-0.14186221361160278,49.32,1.3086403608322144,499,10000,-0.001534947077743709,-1.2375891208648682,965,0.0007,10,-7.537999999999999,500
-0.0445789098739624,41.24,0.06514628231525421,599,12000,0.0017967958701774478,0.907678984105587,981,0.0007,12,-0.9540000000000003,600
-0.0638992190361023,36.11,0.7428259253501892,699,14000,-0.0013017890742048621,0.5985077023506165,988,0.0007,14,2.511,700
-0.13605369627475739,38.72,0.004024037159979343,799,16000,-0.0175941064953804,0.9956754250451922,992,0.0007,16,2.7809999999999993,800
-0.09667631983757019,43.05,0.17887131869792938,899,18000,-0.008132952265441418,0.8486240059137344,1001,0.0007,17,3.213999999999999,900
-0.032332468777894974,47.17,0.2785613536834717,999,20000,-0.001207362744025886,0.8818229958415031,1012,0.0007,19,3.6529999999999982,1000
-0.03474205359816551,48.51,0.02942040003836155,1099,22000,0.00043792944052256644,0.9810378905385733,1020,0.0007,21,3.7779999999999982,1100
-0.06955499947071075,50.68,0.06486599892377853,1199,24000,-0.0006827057804912329,0.9851734610274434,1030,0.0007,23,3.9949999999999983,1200
-0.1051294133067131,53.64,0.055852074176073074,1299,26000,0.009112067520618439,0.9604797773063183,1038,0.0007,25,4.362999999999999,1300
-0.13429513573646545,57.09,0.01273526530712843,1399,28000,-0.00029772924608550966,0.9943594303913414,1044,0.0007,26,4.825,1400
-0.10628055781126022,61.13,0.0032810226548463106,1499,30000,-0.006201295182108879,0.992905396502465,1040,0.0007,28,5.3279999999999985,1500
-0.08502126485109329,56.74,0.005449230317026377,1599,32000,-0.022288218140602112,0.993716286495328,1036,0.0007,30,4.7719999999999985,1600
-0.005963400937616825,56.17,0.002182039199396968,1699,34000,1.9954919480369426e-05,0.9966436326503754,1032,0.0007,32,4.669999999999999,1700
-0.20883618295192719,58.09,0.020084470510482788,1799,36000,0.03052903525531292,0.9904759656637907,1022,0.0007,35,4.924999999999999,1800
-0.0485539548099041,62.54,0.009053709916770458,1899,38000,-0.038426291197538376,0.9878583513200283,1022,0.0007,37,5.495999999999999,1900
-0.11356224119663239,67.44,0.003255341202020645,1999,40000,0.007347710430622101,0.9856331665068865,1021,0.0007,39,6.111999999999999,2000
-0.09757541865110397,67.34,3.050055980682373,2099,42000,0.007915562950074673,0.4133375883102417,1020,0.0007,41,6.065999999999999,2100
-0.04788544774055481,69.09,0.0020874408073723316,2199,44000,0.008110365830361843,0.9941138210706413,1018,0.0007,43,6.312999999999999,2200
-0.14603380858898163,71.61,0.001873165019787848,2299,46000,0.0012333467602729797,0.9957332368940115,1017,0.0007,45,6.6370000000000005,2300
-0.17867641150951385,70.12,0.0033587447833269835,2399,48000,-0.018627408891916275,0.9914455022662878,1016,0.0007,47,6.451999999999999,2400
-0.09669988602399826,69.18,0.0014753123978152871,2499,50000,0.002917572855949402,0.9970699932891876,1015,0.0007,49,6.339999999999999,2500
-0.0044782874174416065,69.35,0.00010649104660842568,2599,52000,-8.961943649410387e-07,0.9999286333695636,1009,0.0007,51,6.311999999999999,2600
-0.16603083908557892,72.54,0.17908377945423126,2699,54000,-0.012174103409051895,0.5733440518379211,1007,0.0007,53,6.712,2700
-0.03930215165019035,72.91,9.764283180236816,2799,56000,-0.09288007766008377,0.05971330404281616,1003,0.0007,55,6.749,2800
-0.08900197595357895,71.8,0.000848542433232069,2899,58000,0.00048372099990956485,0.9979227669537067,1001,0.0007,57,6.62,2900
-0.13471049070358276,76.92,0.0005543019506148994,2999,60000,-0.0020710479002445936,0.9878758043050766,999,0.0007,60,7.249,3000
-0.20815427601337433,76.16,7.285430908203125,3099,62000,0.010425708256661892,0.11528652906417847,997,0.0007,62,7.164,3100
-0.06836356967687607,80.33,0.0016051143174991012,3199,64000,0.00025756965624168515,0.9737046137452126,995,0.0007,64,7.689,3200
-0.08514672517776489,82.17,5.185953140258789,3299,66000,0.010153847746551037,0.04259902238845825,993,0.0007,66,7.918000000000001,3300
-0.09018639475107193,73.54,0.0828658938407898,3399,68000,-0.05776773765683174,0.7366866767406464,992,0.0007,68,6.893,3400
-0.05591079220175743,74.12,0.013203655369579792,3499,70000,-0.004631794523447752,0.9591438844799995,993,0.0007,70,6.96,3500
-0.02441250905394554,70.41,0.019231081008911133,3599,72000,-0.00020879200019408017,0.9915622621774673,994,0.0007,72,6.517,3600
-0.10533475875854492,68.43,0.00917498953640461,3699,74000,0.015062105841934681,0.9825667776167393,991,0.0007,74,6.2829999999999995,3700
-0.012872275896370411,67.74,4.628905773162842,3799,76000,2.084073275909759e-05,0.2895207405090332,994,0.0007,76,6.132999999999998,3800
-0.020931322127580643,66.4,0.009594094939529896,3899,78000,0.0004631679621525109,0.986870133318007,998,0.0007,78,5.954,3900
-0.04726080968976021,70.27,0.0005764115485362709,3999,80000,-0.00010848062083823606,0.9993808481958695,1002,0.0007,79,6.404,4000
