rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,time/episodes,train/n_updates,train/learning_rate,train/loss
50.0,2,7800,0.9629499999999999,-7.518000000000001,3764,156,425,0.0001,0.02179299294948578
50.0,2,8000,0.962,-7.4879999999999995,3759,160,437,0.0001,0.035634785890579224
50.0,2,8200,0.9610500000000001,-7.488,3746,164,450,0.0001,0.04408235847949982
50.0,2,8400,0.9601000000000002,-7.476,3746,168,462,0.0001,0.04075953736901283
50.0,2,8600,0.9591500000000003,-7.494000000000001,3731,172,475,0.0001,0.03625781089067459
50.0,2,8800,0.9582000000000004,-7.506000000000001,3724,176,487,0.0001,0.02972867712378502
50.0,2,9000,0.9572500000000005,-7.524000000000001,3719,180,500,0.0001,0.020388392731547356
50.0,2,9200,0.9562999999999996,-7.518,3717,184,512,0.0001,0.04512389004230499
50.0,2,9400,0.9553499999999997,-7.506,3711,188,525,0.0001,0.041872888803482056
50.0,2,9600,0.9543999999999998,-7.518000000000001,3705,192,537,0.0001,0.031407177448272705
50.0,2,9800,0.9534499999999999,-7.518,3698,196,550,0.0001,0.042521990835666656
50.0,2,10000,0.9524999999999999,-7.554000000000001,3693,200,562,0.0001,0.017418038100004196
50.0,2,10200,0.9515500000000001,-7.535999999999999,3688,204,575,0.0001,0.040821876376867294
50.0,2,10400,0.9506000000000001,-7.5840000000000005,3672,208,587,0.0001,0.04137314110994339
50.0,2,10600,0.9496500000000003,-7.596,3665,212,600,0.0001,0.04529958590865135
50.0,2,10800,0.9487000000000004,-7.614000000000001,3660,216,612,0.0001,0.03277251124382019
50.0,3,11000,0.9477500000000005,-7.577999999999999,3649,220,625,0.0001,0.039706408977508545
50.0,3,11200,0.9467999999999995,-7.650000000000001,3649,224,637,0.0001,0.0493856817483902
50.0,3,11400,0.9458499999999996,-7.65,3640,228,650,0.0001,0.0468418151140213
50.0,3,11600,0.9448999999999997,-7.686,3639,232,662,0.0001,0.05474939942359924
50.0,3,11800,0.9439499999999998,-7.703999999999999,3633,236,675,0.0001,0.04283437877893448
50.0,3,12000,0.943,-7.685999999999998,3633,240,687,0.0001,0.03541213274002075
50.0,3,12200,0.94205,-7.715999999999999,3627,244,700,0.0001,0.056152842938899994
50.0,3,12400,0.9411000000000002,-7.764000000000001,3622,248,712,0.0001,0.026086635887622833
50.0,3,12600,0.9401500000000003,-7.697999999999999,3615,252,725,0.0001,0.07710737735033035
50.0,3,12800,0.9392000000000004,-7.698,3616,256,737,0.0001,0.04159507900476456
