rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,train/value_loss,train/explained_variance,train/loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/clip_range
79.63,27,58.95,45,27648,601,260,563.1488143920899,0.11880207061767578,270.81048583984375,0.01787109375,-0.15038035870529712,-0.002212372835492715,0.0003,0.0007986795,0.2
83.27,28,59.62,47,28672,599,270,532.6284915924073,0.14274543523788452,285.4196472167969,0.00380859375,-0.15844366806559265,-0.001135136594530195,0.0003,0.00063473586,0.2
81.39,29,59.72,49,29696,597,280,475.21298933029175,0.13023632764816284,175.23583984375,0.01806640625,-0.16536797964945435,-0.0006430481851566582,0.0003,0.0013424132,0.2
75.05,30,58.33,51,30720,596,290,515.7857385635376,0.15991729497909546,351.0796203613281,0.01357421875,-0.13528479263186455,-0.001843700633617118,0.0003,0.0008833847,0.2
83.68,31,60.03,53,31744,596,300,508.18528804779055,0.1064634919166565,218.61688232421875,0.0072265625,-0.15298526925034822,-0.0006476388138253242,0.0003,0.0014435076,0.2
81.55,32,59.88,54,32768,596,310,694.7223573684693,0.12044721841812134,431.0163269042969,0.0119140625,-0.1330353061668575,-0.0019443261728156358,0.0003,0.0012162998,0.2
81.88,33,60.21,56,33792,595,320,721.116716003418,0.09975171089172363,313.69720458984375,0.01953125,-0.14229804170317947,-0.0017763250099960715,0.0003,0.0009880702,0.2
84.54,34,60.89,58,34816,596,330,616.9759984970093,0.06961572170257568,404.0524597167969,0.00185546875,-0.12741978471167387,-0.000498451796011068,0.0003,0.0007763826,0.2
92.26,35,62.67,60,35840,596,340,607.1239006042481,0.180858314037323,290.53155517578125,0.01962890625,-0.12116106231696903,-0.0018120671447832137,0.0003,0.0016587663,0.2
92.27,36,62.68,61,36864,595,350,865.8393371582031,-0.0055501461029052734,397.5906982421875,0.0173828125,-0.1335138350725174,-0.0007982492272276432,0.0003,0.0010332904,0.2
