time/total_timesteps,time/iterations,train/policy_loss,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,time/fps,train/n_updates
2000,100,-7.661403179168701,49.525,0.303311824798584,-0.6718074083328247,201.69053649902344,-35.425,0.0007,2,994,99
4000,200,-4.300730228424072,49.7625,0.47662353515625,-0.6067129969596863,133.4266815185547,-46.4375,0.0007,3,1068,199
6000,300,0.3031582534313202,50.41,0.8520686030387878,-0.333644300699234,4.691300868988037,-30.58,0.0007,5,1101,299
8000,400,0.3076965808868408,49.36,0.023065030574798584,-0.29138895869255066,6.760663032531738,11.99,0.0007,7,1111,399
10000,500,-0.42436763644218445,48.52,0.045570969581604004,-0.21326430141925812,191.2578125,39.47,0.0007,9,1103,499
12000,600,0.24431252479553223,49.3,0.48154324293136597,-0.2793978750705719,4.811738014221191,43.07,0.0007,10,1099,599
14000,700,0.12365823984146118,50.18,0.026178061962127686,-0.22484545409679413,5.376763820648193,44.34,0.0007,13,1063,699
16000,800,0.3532794117927551,50.93,0.9862762046977878,-0.09744911640882492,5.222370147705078,47.25,0.0007,14,1067,799
18000,900,-0.05197039991617203,48.97,0.9454806372523308,-0.14416517317295074,2.005272626876831,41.69,0.0007,16,1068,899
20000,1000,0.02580556832253933,51.07,0.9632451571524143,-0.08986296504735947,3.7831342220306396,48.98,0.0007,18,1065,999
22000,1100,-1.0538065433502197,52.99,0.42666083574295044,-0.16366489231586456,194.85670471191406,54.86,0.0007,20,1070,1099
24000,1200,0.4806462824344635,51.18,0.9754760675132275,-0.04060375317931175,3.6267974376678467,50.08,0.0007,22,1075,1199
26000,1300,-0.08324310928583145,47.14,0.6666092872619629,-0.0577985942363739,15.743371963500977,37.13,0.0007,24,1082,1299
28000,1400,0.12849260866641998,47.91,0.6942093074321747,-0.08662783354520798,2.907531976699829,36.91,0.0007,25,1086,1399
30000,1500,0.15917643904685974,49.05,0.9879131875932217,-0.20190869271755219,3.1740355491638184,38.05,0.0007,27,1089,1499
32000,1600,-0.0002411912428215146,47.34,0.26349353790283203,-0.002810974372550845,41.039451599121094,36.34,0.0007,29,1094,1599
34000,1700,-0.0031150360591709614,47.53,0.5114106237888336,-0.004179894458502531,130.09518432617188,36.53,0.0007,30,1098,1699
36000,1800,-3.90757413697429e-05,50.06,0.7914812713861465,-0.0011674842098727822,32.6756591796875,39.06,0.0007,32,1103,1799
38000,1900,0.00019893205899279565,42.27,0.9920095726847649,-0.005722533445805311,0.15735621750354767,31.27,0.0007,34,1106,1899
40000,2000,-7.532197196269408e-05,37.84,0.8955642059445381,-0.016591588035225868,14.7402925491333,26.84,0.0007,36,1109,1999
42000,2100,-0.01152817066758871,42.21,0.992867958266288,-0.06501621752977371,1.2189198732376099,31.21,0.0007,37,1114,2099
44000,2200,-0.011789625510573387,47.71,0.9837590642273426,-0.08017202466726303,2.408280611038208,36.71,0.0007,39,1117,2199
46000,2300,-0.5785495042800903,49.32,0.8600952625274658,-0.13544225692749023,33.88965606689453,39.31,0.0007,41,1118,2299
48000,2400,-0.004085334949195385,50.12,0.9486230164766312,-0.009501245804131031,8.282705307006836,40.11,0.0007,42,1121,2399
50000,2500,-0.01713341288268566,50.32,0.9961517543997616,-0.04673798009753227,0.6134566068649292,40.31,0.0007,44,1122,2499
52000,2600,-0.13361035287380219,50.0,0.995149290189147,-0.09471327066421509,1.1117868423461914,39.0,0.0007,46,1125,2599
54000,2700,-0.04249315336346626,50.01,0.9736131560057402,-0.036091309040784836,4.85384464263916,39.01,0.0007,47,1127,2699
56000,2800,0.15575867891311646,50.46,0.9963200010824949,-0.11538448184728622,0.483406126499176,39.46,0.0007,49,1128,2799
58000,2900,-0.330604612827301,51.26,0.9523950666189194,-0.2171187847852707,16.102672576904297,41.25,0.0007,51,1128,2899
60000,3000,4.108631401322782e-06,57.84,0.4053660035133362,-0.00014241886674426496,355.933349609375,66.64,0.0007,53,1126,2999
62000,3100,0.04838267341256142,58.19,0.9981978198047727,-0.09057412296533585,0.3800669312477112,67.98,0.0007,55,1124,3099
64000,3200,0.47260722517967224,63.14,0.9487807713449001,-0.0712384283542633,10.677973747253418,86.79,0.0007,56,1123,3199
66000,3300,0.008744461461901665,58.55,0.9955633939243853,-0.06423825025558472,0.3999258279800415,68.34,0.0007,59,1113,3299
68000,3400,1.3983419648866402e-06,63.6,0.9782956968992949,-4.208708924124949e-05,1.1573537588119507,88.24,0.0007,61,1109,3399
70000,3500,-1.4807772636413574,65.61,-0.003821849822998047,-0.042552124708890915,2221.382568359375,95.2,0.0007,63,1109,3499
72000,3600,0.0013177188811823726,68.81,0.9760632291436195,-0.013795765116810799,1.0292091369628906,107.31,0.0007,64,1109,3599
74000,3700,2.4735786610108335e-06,66.34,0.1932060718536377,-0.0005962259019725025,913.4462280273438,98.9,0.0007,66,1109,3699
76000,3800,0.0036513376981019974,68.15,-0.6958072185516357,-0.020203078165650368,4.7953715324401855,106.65,0.0007,68,1109,3799
78000,3900,0.020889487117528915,66.84,-0.022325873374938965,-0.03882179781794548,1308.9136962890625,101.38,0.0007,70,1108,3899
80000,4000,-0.08703824132680893,70.22,-0.09575629234313965,-0.03048577718436718,962.7190551757812,112.68,0.0007,72,1107,3999
82000,4100,-0.06926103681325912,71.53,0.9705161582678556,-0.1279640644788742,0.8338287472724915,117.95,0.0007,74,1107,4099
84000,4200,0.0011984962038695812,71.44,0.9658677503466606,-0.02123185060918331,0.6388001441955566,116.87,0.0007,75,1106,4199
86000,4300,-0.0025132116861641407,71.0,0.9947497295215726,-0.052954137325286865,0.0716732069849968,115.44,0.0007,77,1105,4299
88000,4400,0.008294599130749702,72.98,0.03291982412338257,-0.03122652880847454,443.66412353515625,121.38,0.0007,79,1105,4399
90000,4500,-0.027184218168258667,71.65,0.980447756126523,-0.11418813467025757,0.10792957991361618,118.07,0.0007,81,1106,4499
92000,4600,-0.9675031900405884,68.5,0.8059416860342026,-0.17398498952388763,279.4808349609375,109.97,0.0007,83,1105,4599
94000,4700,0.16178779304027557,67.65,-0.36466681957244873,-0.0323595367372036,2280.34423828125,108.13,0.0007,84,1105,4699
96000,4800,3.878459930419922,69.36,0.19616621732711792,-0.10130691528320312,850.576171875,115.78,0.0007,86,1106,4799
98000,4900,-0.01838837005198002,67.28,0.9953892379999161,-0.13593797385692596,0.5308457612991333,106.77,0.0007,88,1106,4899
100000,5000,0.013237576000392437,59.0,0.9969258208293468,-0.07828134298324585,0.20606739819049835,74.73,0.0007,90,1106,4999
102000,5100,0.0071305641904473305,50.37,0.9989191460190341,-0.06868281215429306,0.05213768035173416,41.35,0.0007,92,1106,5099
104000,5200,0.007051379885524511,55.29,0.9997414771059994,-0.07102757692337036,0.006648603361099958,60.13,0.0007,93,1106,5199
106000,5300,-0.0031657086219638586,55.48,0.6729113161563873,-0.03397722169756889,105.50125885009766,60.32,0.0007,95,1106,5299
108000,5400,-1.884791374206543,55.36,0.7862231135368347,-0.10913904011249542,58.08951950073242,59.21,0.0007,97,1106,5399
110000,5500,-0.002305541653186083,50.0,0.8373876065015793,-0.05931759998202324,35.53670883178711,39.0,0.0007,99,1107,5499
112000,5600,-2.6670405864715576,50.0,0.8354517072439194,-0.04584687948226929,39.68362045288086,39.0,0.0007,101,1107,5599
114000,5700,-0.02641649916768074,50.0,0.9879781659692526,-0.07801581919193268,1.998980164527893,39.0,0.0007,102,1107,5699
116000,5800,-0.00921975914388895,50.0,0.99816139054019,-0.02784145437180996,0.34816431999206543,39.0,0.0007,104,1108,5799
118000,5900,-0.0020827094558626413,50.01,0.999769012487377,-0.04953215271234512,0.029892772436141968,39.01,0.0007,106,1108,5899
120000,6000,-0.00046393118100240827,50.01,0.9972526247147471,-0.004217312205582857,0.45163774490356445,39.01,0.0007,108,1107,5999
122000,6100,-0.010913047939538956,50.02,0.9875200521200895,-0.019927969202399254,3.0271153450012207,39.02,0.0007,110,1107,6099
124000,6200,0.023198800161480904,50.01,0.9980473838513717,-0.058530885726213455,0.3302648961544037,39.01,0.0007,111,1107,6199
126000,6300,0.04045155271887779,50.05,0.9966710291337222,-0.05166974291205406,0.696921706199646,39.05,0.0007,113,1107,6299
128000,6400,0.014428338967263699,50.05,0.9994258865481243,-0.058923155069351196,0.10452524572610855,39.05,0.0007,115,1107,6399
130000,6500,-0.06906469166278839,50.05,0.9982266592560336,-0.06665471941232681,0.3516787588596344,39.05,0.0007,117,1107,6499
132000,6600,-0.0006491336389444768,50.0,0.9969347573351115,-0.005435299128293991,0.6311829686164856,39.0,0.0007,119,1107,6599
134000,6700,-0.0045534116216003895,50.0,0.9997257056529634,-0.03412158414721489,0.06085377559065819,39.0,0.0007,121,1107,6699
136000,6800,-0.001934987842105329,50.0,0.9994108571554534,-0.022819144651293755,0.11111569404602051,39.0,0.0007,122,1106,6799
138000,6900,-1.5287898349924944e-05,50.0,0.9998655604722444,-0.0014090023469179869,0.024159757420420647,39.0,0.0007,124,1106,6899
140000,7000,0.0012727048015221953,50.0,0.9999589933104289,-0.04914979636669159,0.011490953154861927,39.0,0.0007,126,1106,6999
142000,7100,0.05083351954817772,50.0,0.9997164890519343,-0.0323011688888073,0.06435666233301163,39.0,0.0007,128,1105,7099
144000,7200,-0.00040260329842567444,50.0,0.9985062959603965,-0.05251612141728401,0.3597751259803772,39.0,0.0007,130,1105,7199
146000,7300,0.03595910593867302,50.01,0.9995101201930083,-0.07219997048377991,0.08965795487165451,39.01,0.0007,132,1105,7299
148000,7400,-0.07575446367263794,50.01,0.9990296783507802,-0.044224437326192856,0.19539599120616913,39.01,0.0007,133,1105,7399
150000,7500,-1.3166356438887306e-05,50.01,0.9996031885093544,-0.0001549485168652609,0.10630834102630615,39.01,0.0007,135,1105,7499
152000,7600,-4.6786764869466424e-05,50.0,0.9968738469760865,-0.00022210362658370286,0.6477646231651306,39.0,0.0007,137,1105,7599
154000,7700,-1.1901482821485843e-07,50.0,0.9998078356584301,-6.0699139794451185e-06,0.037098027765750885,39.0,0.0007,139,1106,7699
156000,7800,-1.790895076680954e-08,50.0,0.9995772186666727,-9.550454933560104e-07,0.07934816926717758,39.0,0.0007,141,1106,7799
158000,7900,-0.0,50.0,0.9999782234317536,-5.579515871545482e-08,0.008239486254751682,39.0,0.0007,142,1105,7899
160000,8000,-0.0,49.24,0.9999228750966722,-8.545728014119902e-10,0.011658734641969204,38.24,0.0007,144,1105,7999
162000,8100,-0.00014726768131367862,48.67,0.9999622264367645,-0.013010173104703426,0.013072974048554897,37.67,0.0007,146,1104,8099
164000,8200,-0.0732298493385315,49.05,0.9995117330690846,-0.07316795736551285,0.04777900129556656,38.05,0.0007,148,1104,8199
166000,8300,0.08800772577524185,49.43,0.9992046635015868,-0.08173371106386185,0.1965763419866562,38.43,0.0007,150,1104,8299
168000,8400,0.02937043085694313,49.81,0.9993618772714399,-0.08749821782112122,0.11648714542388916,38.81,0.0007,152,1104,8399
170000,8500,-0.0,49.62,0.9999519253979088,-1.1460016047237787e-08,0.010242315009236336,38.62,0.0007,153,1104,8499
172000,8600,7.155832548733088e-08,49.62,0.9999618639303662,-1.0752619346021675e-05,0.026485580950975418,38.62,0.0007,155,1103,8599
174000,8700,4.276125675772846e-09,49.62,0.9999666101030016,-7.867960789553763e-07,0.020334288477897644,38.62,0.0007,157,1103,8699
176000,8800,-0.0,50.0,0.9999763887572044,-9.961920177659067e-09,0.024173974990844727,39.0,0.0007,159,1103,8799
178000,8900,-0.0,49.81,0.9999853531380722,-1.508706581887509e-08,0.004197148140519857,38.81,0.0007,161,1103,8899
180000,9000,-0.0,49.81,0.9998932264134055,-1.8905939036528707e-09,0.06397589296102524,38.81,0.0007,163,1102,8999
182000,9100,-0.0,50.0,0.9999837767099962,-1.2272709959404438e-08,0.004793242551386356,39.0,0.0007,165,1102,9099
184000,9200,1.28458248127572e-06,50.0,0.9999678103522456,-0.00014853310131002218,0.008099830709397793,39.0,0.0007,166,1102,9199
186000,9300,-0.0,50.0,0.9999653526647307,-1.4328064423807518e-07,0.0271670650690794,39.0,0.0007,168,1101,9299
188000,9400,-0.0,49.62,0.999693041521823,-5.229405242168639e-10,0.010655979625880718,38.62,0.0007,170,1101,9399
190000,9500,-0.0,49.24,0.999516639567446,-3.3862963544351032e-09,0.048829685896635056,38.24,0.0007,172,1101,9499
192000,9600,-0.0,49.24,0.9998255917307688,-4.071816217532387e-09,0.030857795849442482,38.24,0.0007,174,1101,9599
194000,9700,-0.0,49.05,0.9988983279326931,-4.258450037042394e-09,0.23390598595142365,38.05,0.0007,176,1101,9699
196000,9800,-0.0,49.24,0.998632704722695,-1.0636790115370331e-08,0.3272964060306549,38.24,0.0007,177,1101,9799
198000,9900,2.6206609504697553e-07,49.81,0.9996560532308649,-3.841237685264787e-06,0.09916238486766815,38.81,0.0007,179,1100,9899
200000,10000,-0.0,49.43,0.9999788913646626,-9.45621323467094e-08,0.0016346697229892015,38.43,0.0007,182,1097,9999
202000,10100,1.2381092062696553e-07,47.15,0.9940692568197846,-8.311922101711389e-07,2.0189099311828613,36.15,0.0007,184,1095,10099
204000,10200,-0.0,47.34,0.9971869301516563,-5.627215915460226e-10,0.6319364905357361,36.34,0.0007,186,1093,10199
206000,10300,-0.0,49.24,0.9955499558709562,-2.6491440152653922e-08,1.80120849609375,38.24,0.0007,188,1092,10299
208000,10400,0.023351987823843956,48.86,0.9993665107176639,-0.05716986581683159,0.1367562860250473,37.86,0.0007,190,1092,10399
210000,10500,-0.04801971837878227,49.43,0.9936805027537048,-0.03494393453001976,0.10936009883880615,38.43,0.0007,192,1092,10499
212000,10600,-0.0,49.24,0.999996967344714,-7.843378030392145e-11,0.000663395447190851,38.24,0.0007,193,1093,10599
214000,10700,-0.0,48.67,0.999837580951862,-2.942508459113924e-10,0.033214110881090164,37.67,0.0007,195,1092,10699
216000,10800,-0.020351052284240723,49.05,0.9979321181308478,-0.04713491350412369,0.11291799694299698,38.05,0.0007,197,1092,10799
218000,10900,2.5564861516613746e-07,48.67,0.9999958910743771,-0.00021211586135905236,0.0021978302393108606,37.67,0.0007,199,1093,10899
220000,11000,-1.0341131506663714e-08,49.05,0.999980606344252,-5.9426088228065055e-06,0.009015567600727081,38.05,0.0007,201,1093,10999
