time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_range,train/loss,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl
20,636,13312,4.350999999999999,53.43,13,0.2,0.07164904475212097,0.04462890625,0.8807435184717178,120,-0.21721316343173386,0.1698038480244577,-0.004681813158094883,0.0003,0.0039322963
22,629,14336,4.510999999999999,54.58,14,0.2,0.06703287363052368,0.02431640625,0.8080149739980698,130,-0.18786762030795218,0.24050697456113995,-0.0028858211648184807,0.0003,0.002338301
24,624,15360,4.690999999999999,55.93,15,0.2,0.17274843156337738,0.01572265625,0.8036159873008728,140,-0.15562199926935136,0.28304456621408464,-0.0014746984583325685,0.0003,0.0013764999
26,622,16384,4.736999999999998,56.39,16,0.2,0.10550962388515472,0.033203125,0.8004648387432098,150,-0.15030585858039558,0.30353277968242764,-0.002177928961464204,0.0003,0.002645868
27,622,17408,4.888999999999999,57.55,17,0.2,0.14670255780220032,0.02890625,0.7972237020730972,160,-0.18010265631601213,0.3033773415256292,-0.0020332682819571347,0.0003,0.0018723633
29,622,18432,5.004999999999999,58.44,18,0.2,0.26068565249443054,0.0189453125,0.7081058323383331,170,-0.1562793668359518,0.4338977478444576,-0.0017976944451220333,0.0003,0.0015082601
31,621,19456,4.973,58.03,19,0.2,0.22158274054527283,0.0091796875,0.752268835902214,180,-0.13892054143361748,0.388836258277297,-0.0018781763210427016,0.0003,0.001201123
32,621,20480,5.034999999999999,58.65,20,0.2,0.17680621147155762,0.0095703125,0.6516759991645813,190,-0.11380682815797627,0.4788899689912796,-0.0011524956207722425,0.0003,0.001218925
34,621,21504,5.324,61.0,21,0.2,0.14796259999275208,0.0072265625,0.7198663949966431,200,-0.10567909283563495,0.4379871147684753,-0.000858132416033186,0.0003,0.0012087126
36,621,22528,5.429999999999999,61.79,22,0.2,0.25027239322662354,0.00966796875,0.6616595983505249,210,-0.10834953801240772,0.5840219374746084,5.836220807395875e-05,0.0003,0.0013052018
37,621,23552,5.508000000000001,62.3,23,0.2,0.252278208732605,0.01162109375,0.6764459609985352,220,-0.09043653872795403,0.504892164003104,-0.0020992071134969593,0.0003,0.0010597177
39,621,24576,5.7029999999999985,63.89,24,0.2,0.2952382266521454,0.01328125,0.6364312171936035,230,-0.09944930176716298,0.6355941781774164,-0.0016616819018963724,0.0003,0.0018950441
41,621,25600,5.905999999999999,65.65,25,0.2,0.35414814949035645,0.00830078125,0.595154732465744,240,-0.09923088238574565,0.6834595415741205,-0.0003291805449407548,0.0003,0.00038502907
42,622,26624,6.150999999999999,67.83,26,0.2,0.44146057963371277,0.010546875,0.49092477560043335,250,-0.0959378386149183,0.8815008575096727,-0.0014288418111391365,0.0003,0.00071614154
44,622,27648,6.495,70.46,27,0.2,0.39823582768440247,0.02109375,0.48515164852142334,260,-0.10846438279841095,0.9259045898914338,-0.0013741128845140339,0.0003,0.0045734
46,622,28672,6.6530000000000005,71.77,28,0.2,0.48674705624580383,0.0103515625,0.48236769437789917,270,-0.0957424065330997,0.9548638815060257,-0.0021662057988578454,0.0003,0.00064103364
47,622,29696,6.897000000000002,73.76,29,0.2,0.5317797660827637,0.01103515625,0.4675517678260803,280,-0.08483546124771238,1.0538641549646854,-0.0017408147163223476,0.0003,0.0012674648
49,623,30720,7.1259999999999994,75.78,30,0.2,0.5499348044395447,0.01318359375,0.3857254981994629,290,-0.09190143409650772,1.3032461944967508,-0.0017727130325511098,0.0003,0.00088153186
50,624,31744,7.322,77.29,31,0.2,0.6940159201622009,0.02412109375,0.3990963101387024,300,-0.09381309389136731,1.3482689656317235,-0.002823546211584471,0.0003,0.0018287181
52,624,32768,7.523,78.94,32,0.2,0.40994876623153687,0.02099609375,0.36499524116516113,310,-0.08842991518322378,1.2094019789248704,-0.001985402492573485,0.0003,0.0024682335
54,624,33792,7.459,78.21,33,0.2,0.6404600739479065,0.02099609375,0.2991660237312317,320,-0.09070853327866643,1.448204019293189,-0.0011729622667189688,0.0003,0.0010930466
55,624,34816,7.7280000000000015,80.36,34,0.2,0.5682054162025452,0.01416015625,0.47307711839675903,330,-0.08261098813964055,1.175192116573453,-0.002884340938180685,0.0003,0.00086219294
57,624,35840,7.656000000000001,79.91,35,0.2,0.7438842058181763,0.00986328125,0.4157191514968872,340,-0.07835998989176005,1.2612333085387946,-0.0004813558014575392,0.0003,0.0010429884
58,625,36864,7.6720000000000015,80.07,36,0.2,0.5914999842643738,0.00322265625,0.5315060615539551,350,-0.07322434331290424,1.1196066420525312,7.474606391042471e-05,0.0003,0.0005318112
60,624,37888,7.752000000000001,80.69,37,0.2,0.40408042073249817,0.01484375,0.5516373217105865,360,-0.07832043302478268,1.0623312428593636,-0.0004787313868291676,0.0003,0.0022650152
62,624,38912,7.690999999999999,80.26,38,0.2,0.6991786360740662,0.02138671875,0.3864228129386902,370,-0.07848180880537256,1.3729634705930949,-0.0015156036708503962,0.0003,0.0015848826
63,624,39936,7.587,79.49,39,0.2,0.5131162405014038,0.01171875,0.49220967292785645,380,-0.0711213317583315,1.0562969502061605,8.495787624269724e-05,0.0003,0.00054663233
65,624,40960,7.989,82.7,40,0.2,0.7148837447166443,0.0091796875,0.5305485427379608,390,-0.07754586511291564,1.0972833946347236,9.279379737563432e-05,0.0003,0.00028247535
67,625,41984,8.296,85.32,41,0.2,0.34035444259643555,0.01279296875,0.4144217371940613,400,-0.07399919014424086,1.081050149910152,-0.00047407743986696007,0.0003,0.000625985
68,625,43008,7.993999999999999,82.93,42,0.2,0.8849801421165466,0.0033203125,0.45827656984329224,410,-0.07307028039358557,1.2728555247187614,-0.00030258613405749203,0.0003,0.00048261834
70,625,44032,7.92,82.37,43,0.2,0.6256071925163269,0.01044921875,0.39605051279067993,420,-0.07206898174481466,1.4876531317830086,-0.0019559020875021815,0.0003,0.0010643855
71,626,45056,8.173,84.45,44,0.2,0.673841655254364,0.01171875,0.4313431978225708,430,-0.06525810093153268,1.434966689348221,-0.0005287625041091815,0.0003,0.0006241496
73,626,46080,8.392999999999999,86.2,45,0.2,0.5148285031318665,0.01240234375,0.4220166802406311,440,-0.06776815119665117,1.230009382404387,-0.00010441610356792808,0.0003,0.000551279
75,626,47104,8.273000000000001,85.27,46,0.2,0.9262447357177734,0.00517578125,0.3460511565208435,450,-0.06604249897645786,1.6993605259805917,-0.0002971121633891016,0.0003,0.00018156151
76,626,48128,8.31,85.64,47,0.2,0.8876029253005981,0.03056640625,0.4395904541015625,460,-0.07352928374893963,1.5322075452655555,-0.0018479211896192283,0.0003,0.0022484213
78,626,49152,7.976,82.93,48,0.2,1.008800745010376,0.01240234375,0.4382210373878479,470,-0.05782317569246516,1.5057621505111456,0.00016628404846414925,0.0003,0.00079419976
80,626,50176,8.004,83.21,49,0.2,0.7515948414802551,0.009375,0.42929989099502563,480,-0.06257095999317244,1.2947768621146678,-0.00033461856946814805,0.0003,0.0008269781
81,626,51200,7.899000000000001,82.43,50,0.2,0.48083600401878357,0.03583984375,0.42790526151657104,490,-0.07697145530255511,1.1834889438003302,-0.0033285800484009085,0.0003,0.004805283
83,626,52224,8.216000000000001,84.97,51,0.2,0.36569055914878845,0.0146484375,0.5517034530639648,500,-0.06251044311793522,1.0309478372335434,-0.00017014206969179213,0.0003,0.0009726779
84,626,53248,7.974,83.0,52,0.2,0.4234373867511749,0.007421875,0.5968206226825714,510,-0.0639775907038711,1.0024351198226213,-0.0005671500286553055,0.0003,0.0010400004
86,626,54272,8.337,85.91,53,0.2,0.4295967221260071,0.0224609375,0.559332937002182,520,-0.06378280787030235,1.116544983163476,-0.00034045272914227096,0.0003,0.0016516622
88,626,55296,8.391000000000002,86.36,54,0.2,0.7035897374153137,0.008203125,0.5149887502193451,530,-0.06946876698639244,1.0613907128572464,-0.00018931833328679205,0.0003,0.0009997322
